"filename", "language", "JSON", "Properties", "Markdown", "JavaScript", "HTML", "JavaScript JSX", "XML", "CSS", "comment", "blank", "total"
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/.env", "Properties", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/.vite/deps/_metadata.json", "JSON", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/.vite/deps/chunk-GFWMZNU4.js", "JavaScript", 0, 0, 0, 1812, 0, 0, 0, 0, 93, 4, 1909
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/.vite/deps/package.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/.vite/deps/react-dom.js", "JavaScript", 0, 0, 0, 21271, 0, 0, 0, 0, 406, 5, 21682
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/.vite/deps/react.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/.vite/deps/react_jsx-dev-runtime.js", "JavaScript", 0, 0, 0, 886, 0, 0, 0, 0, 23, 3, 912
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/.vite/deps/react_jsx-runtime.js", "JavaScript", 0, 0, 0, 898, 0, 0, 0, 0, 23, 3, 924
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/API_MIGRATION_README.md", "Markdown", 0, 0, 66, 0, 0, 0, 0, 0, 0, 20, 86
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/README.md", "Markdown", 0, 0, 7, 0, 0, 0, 0, 0, 0, 6, 13
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/RTK_QUERY_MIGRATION_GUIDE.md", "Markdown", 0, 0, 140, 0, 0, 0, 0, 0, 0, 38, 178
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/cypress.config.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 0, 3, 1, 17
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/cypress/e2e/login.cy.js", "JavaScript", 0, 0, 0, 138, 0, 0, 0, 0, 30, 31, 199
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/cypress/e2e/member-dashboard.cy.js", "JavaScript", 0, 0, 0, 112, 0, 0, 0, 0, 21, 16, 149
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/cypress/e2e/responsive.cy.js", "JavaScript", 0, 0, 0, 119, 0, 0, 0, 0, 24, 18, 161
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/cypress/support/commands.js", "JavaScript", 0, 0, 0, 34, 0, 0, 0, 0, 10, 6, 50
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/cypress/support/e2e.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 0, 10, 2, 20
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/docs/API_MIGRATION_PLAN.md", "Markdown", 0, 0, 69, 0, 0, 0, 0, 0, 0, 24, 93
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/eslint.config.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 2, 34
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/index.html", "HTML", 0, 0, 0, 0, 36, 0, 0, 0, 0, 1, 37
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/package-lock.json", "JSON", 10909, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10910
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/package.json", "JSON", 65, 0, 0, 0, 0, 0, 0, 0, 0, 1, 66
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/postcss.config.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/public/vite.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 40, 0, 6, 46
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 306, 0, 0, 0, 32, 338
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/assets/react.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/components/CoachList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 916, 0, 0, 72, 108, 1096
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/components/DraggableTag.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 120, 0, 0, 16, 18, 154
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/components/GoogleMap/index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 129, 0, 0, 10, 18, 157
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/components/ImgLazy.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 87, 0, 0, 18, 13, 118
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/components/ImgWithToken.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 165, 0, 0, 7, 15, 187
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/components/PageTransition.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 56, 0, 0, 0, 7, 63
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/components/TagsContainer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 145, 0, 0, 14, 14, 173
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/components/common/NoticeModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 0, 2, 23
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/components/index.js", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 0, 3, 1, 7
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/components/layout/CoachSidebar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 290, 0, 0, 44, 31, 365
